real_profile_id,battery_life,screen_size,thickness,front_camera,rear_camera,focal_length,ultrawide,geekbench,ram,price
r23222,24,6.1,7.7,24,36,8,not equipped,7000,4,749
r28943,30,6.1,8.8,18,60,5,equipped,7800,4,749
r38280,42,6.9,7.7,24,72,10,not equipped,7800,4,749
r38695,42,6.6,8.3,30,36,1,equipped,8600,4,749
r58060,42,6.9,8.3,18,48,1,not equipped,9400,4,749
r72134,36,6.6,8.3,18,48,3,not equipped,6200,8,749
r72396,18,6.9,8.8,12,60,3,not equipped,6200,8,749
r82513,30,6.6,7.7,30,48,10,equipped,7000,8,749
r155634,36,6.6,7.7,18,60,3,equipped,7800,12,749
r170217,24,6.9,8.3,30,72,5,equipped,8600,12,749
r177608,30,6.3,6.0,12,72,8,not equipped,8600,12,749
r190788,30,6.3,8.8,12,36,10,not equipped,9400,12,749
r194310,42,6.3,8.8,12,72,3,equipped,6200,16,749
r208877,24,6.9,8.8,24,36,8,equipped,7000,16,749
r212006,18,6.3,6.0,24,60,1,not equipped,7000,16,749
r248884,36,6.1,6.0,30,48,10,equipped,9400,16,749
r264023,30,6.1,7.7,12,48,3,not equipped,6200,4,849
r267812,24,6.6,8.3,30,36,10,not equipped,6200,4,849
r282158,30,6.9,8.8,24,48,1,equipped,7800,4,849
r319431,18,6.6,8.8,12,60,10,not equipped,9400,4,849
r327543,30,6.1,7.7,24,72,1,not equipped,6200,8,849
r354490,42,6.3,6.0,30,72,3,not equipped,7800,8,849
r362789,36,6.3,8.8,24,48,8,equipped,8600,8,849
r373340,42,6.9,8.3,24,60,3,equipped,9400,8,849
r397427,24,6.3,8.8,30,48,1,equipped,7000,12,849
r400049,36,6.3,8.3,12,60,5,equipped,7000,12,849
r402030,42,6.3,7.7,18,36,10,equipped,7000,12,849
r420099,36,6.9,6.0,30,36,8,not equipped,7800,12,849
r440012,24,6.6,6.0,12,72,8,equipped,9400,12,849
r464424,36,6.1,7.7,18,72,5,equipped,7000,16,849
r477253,30,6.6,8.3,18,72,5,equipped,7800,16,849
r493521,18,6.1,6.0,18,60,1,not equipped,8600,16,849
r495456,18,6.9,6.0,18,36,5,not equipped,8600,16,849
r518912,24,6.6,7.7,24,48,1,not equipped,6200,4,949
r527042,24,6.1,6.0,12,72,3,equipped,7000,4,949
r553639,36,6.9,7.7,12,60,5,equipped,8600,4,949
r572725,42,6.1,6.0,30,48,5,not equipped,9400,4,949
r578869,36,6.3,8.8,30,36,5,equipped,6200,8,949
r596174,36,6.6,6.0,12,72,1,not equipped,7000,8,949
r612938,30,6.9,8.3,18,72,8,not equipped,7800,8,949
r625548,30,6.3,7.7,30,60,8,not equipped,8600,8,949
r626045,42,6.1,8.3,18,36,10,not equipped,8600,8,949
r640365,42,6.1,8.3,12,48,1,equipped,6200,12,949
r652346,18,6.3,7.7,24,60,10,not equipped,6200,12,949
r663671,18,6.6,8.8,30,48,8,not equipped,7000,12,949
r692659,36,6.9,6.0,24,36,3,equipped,9400,12,949
r696463,30,6.1,8.8,18,36,10,equipped,9400,12,949
r708636,18,6.9,8.8,18,60,8,equipped,6200,16,949
r724695,42,6.6,8.3,24,36,3,not equipped,7000,16,949
r731386,18,6.3,7.7,24,48,3,equipped,7800,16,949
r762837,24,6.9,7.7,30,72,1,not equipped,9400,16,949
r777109,36,6.3,8.8,18,36,5,not equipped,6200,4,1049
r785448,30,6.3,6.0,24,60,8,equipped,7000,4,1049
r790811,18,6.6,6.0,18,72,5,not equipped,7000,4,1049
r829809,36,6.3,8.3,12,48,8,not equipped,9400,4,1049
r838177,24,6.9,6.0,18,72,10,equipped,6200,8,1049
r856945,42,6.1,8.8,30,48,10,not equipped,7000,8,1049
r860651,18,6.6,6.0,24,48,5,equipped,7800,8,1049
r921641,18,6.1,8.3,12,36,1,equipped,7800,12,1049
r935594,36,6.6,8.8,24,72,1,equipped,8600,12,1049
r942978,30,6.9,6.0,30,60,3,not equipped,8600,12,1049
r955627,24,6.3,7.7,18,60,3,not equipped,9400,12,1049
r992944,36,6.1,8.8,30,60,1,not equipped,7800,16,1049
r993367,24,6.3,6.0,18,36,3,not equipped,7800,16,1049
r1002275,42,6.6,7.7,12,36,8,equipped,8600,16,1049
r1015418,30,6.9,8.3,12,48,8,equipped,9400,16,1049
r1017556,18,6.9,7.7,30,72,10,equipped,9400,16,1049
r1063838,30,6.9,8.8,18,36,3,equipped,8600,4,1149
r1075089,36,6.3,8.3,24,72,10,not equipped,8600,4,1149
r1076951,18,6.6,8.8,18,48,3,equipped,9400,4,1149
r1092121,18,6.1,8.3,30,36,8,equipped,6200,8,1149
r1107218,30,6.9,6.0,12,36,1,not equipped,7000,8,1149
r1113606,18,6.3,6.0,12,36,1,equipped,7800,8,1149
r1118182,24,6.1,7.7,18,60,8,equipped,7800,8,1149
r1149107,24,6.3,8.8,30,60,5,not equipped,9400,8,1149
r1163425,42,6.1,8.8,24,72,8,not equipped,6200,12,1149
r1174956,18,6.9,8.8,24,72,5,not equipped,7000,12,1149
r1202692,24,6.6,8.3,18,60,10,not equipped,8600,12,1149
r1221934,36,6.6,6.0,24,60,10,equipped,6200,16,1149
r1225317,24,6.9,7.7,12,48,5,not equipped,6200,16,1149
r1231323,30,6.1,8.3,30,72,3,equipped,7000,16,1149
r1252795,42,6.6,8.8,30,60,8,not equipped,7800,16,1149
r1254830,42,6.3,7.7,18,48,1,equipped,8600,16,1149
r1284730,42,6.3,6.0,30,60,8,equipped,6200,4,1249
r1311437,24,6.9,8.8,12,60,10,equipped,7800,4,1249
r1313559,36,6.9,7.7,30,36,3,not equipped,7800,4,1249
r1320926,18,6.3,8.3,30,72,3,equipped,8600,4,1249
r1357577,24,6.9,8.3,18,60,1,equipped,7000,8,1249
r1385442,24,6.1,6.0,24,48,5,equipped,8600,8,1249
r1397795,42,6.6,7.7,12,36,5,equipped,9400,8,1249
r1400101,18,6.1,7.7,18,72,8,equipped,9400,8,1249
r1408273,30,6.6,7.7,30,36,1,equipped,6200,12,1249
r1428840,42,6.9,7.7,12,48,3,not equipped,7000,12,1249
r1431459,36,6.9,6.0,18,48,8,not equipped,7000,12,1249
r1443081,18,6.1,8.3,24,48,5,not equipped,7800,12,1249
r1477528,30,6.3,6.0,18,48,10,equipped,6200,16,1249
r1509512,24,6.6,8.8,12,48,10,not equipped,7800,16,1249
r1518302,24,6.1,8.8,24,36,3,not equipped,8600,16,1249
r1530709,36,6.3,8.8,18,72,1,not equipped,9400,16,1249
r1533013,30,6.6,8.3,24,60,5,not equipped,9400,16,1249
